Titulos,Conteudo
Funciona quando quer,Novamente venho reclamar pois estou sem internet nesse mês. Mês passado tive queda e 3 visitas técnicas. Esse mês liguei para Vivo
Vivo não atende,Já tem mais de 1 mês que o meu serviço de internet para de funcionar e depois volta passa a funcionar alguns dias e depois cai nov
Sem internet 2 dias,"Pago uma internet 60Mega, mas não estou recebendo o que pago.Tenho aulas online todos os dias as 19 horas. Minha internet qu"
Sem Internet e sem previsão,Boa tarde..O que está acontecendo??Tem determinados horários que a Internet oscila  e agora pouco fiquei sem ela.
Não consigo abrir uma pagina de internet,Estou aproximadamente 15 dias sem ou com descontinuidade dos serviços de internet da empresa Vivo. Abrir diversos chamados de manu
Abertura de Chamado na Anatel e cancelamento.,"Com 1 de assinatura internet e celular, minha internet que deveria ser 300Mbps vivia oscilando chegando a 3.2! Isso qdo não caia p"
SEM INTERNET HÁ 6 DIAS! 3 VISITAS TÉCNICAS MARCADAS NÃO REALIZADAS!,"Bom dia. Estou sem internet a 4 dias liguei no telefone de contato não conseguiram solucionar, agendei a visita do técnico para ho"
SEM INTERNET A MAIS DE UMA SEMANA,Eu efetuei o pagamento de todas as minhas fatura e a fatura de Março a vivo está me cobrando e cortou minha internet.Já entr
Vivo é Vivo,"Sou cliente da Vivo há MUITOS ANOS.  Muitos mesmo (nem me lembro de quando), desde o tempo que se chamava Telesp.Possuo uma "
Há uma semana sem internet e nada fazem,Boa tarde quero aqui reclamar da operadora vivo já tem monte tempo não funciona já reclamei monte vez técnico vem nem olha mais nã
Vivo Fibra e Vivo móvel lixo,"Boa noite !venho por meio desta, informar que desde o dia 28/06/2023 estou sem internet na minha residencia, toda vez "
Má qualidade no suporte técnico,Aqui em Campinas já temos um grupo de Whatsapp na região (Grupo Vivo Morto) onde todo mês temos o mesmo problema: a internet simpl
Contratei plano internet vivo fibra,"Já abri várias reclamações na Internet, já abri reclamações na Anatel, na consultoria da Vivo, já liguei na equipe técnica local e"
Descaso com consumidor,"Internet fibra da VIVO tá sempre morta. Funciona quando quer, o app sequer faz a leitura do problema para gerar suporte técnico. J"
"Pacote de internet contratado, sendo atendido com péssima qualidade","Tento pedir atendimento residência para vivo Internet, mas a Vivo não atende.O aplicativo fica  carregando mas não abre."
DIAS SEM INTERNET,"sem internet a muito tempo, trabalhando em homeoffice está complicado, quando volta fica uns 5 minutos e cai novamente."
Péssimo suporte,"Estou sem internet por 2 dias e não consigo falar com ninguém da vivo. O canal de atendimento não cometa ligação, fica apenas repe"
Internet de péssima qualidade,Há mais de seis horas sem Internet e sem qq previsao de retorno do serviço
Difícil contratar,Sem internet desde as 14:00 até as 21:30 ainda não voltou .Doz ser problema na rede porém a previsão era .Vergonha pois isso ja ac
Mais de 24 horas sem sinal de internet,Não estou conseguindo abrir a página https://resultados.labpasteur.com.br/shift/lis/pasteur/elis/s01.iu.web.Login.cls?config=UNICO
Péssimos Serviços,"Gostaria de entender o motivo pelo qual estou tendo problemas com minha conexão da Vivo, número*******4428, e por que está sendo c"
WI Fi não funciona no meu novo contrato,Estou há 8 dias sem Internet e sem nenhum tipo de assistência técnica da OPERADORA VIVO! mais de 25 protocolos 2 VISITAS TÉCNICAS 
Aplicativo da vivo não agenda visita tecnica,"No dia 04/06 ocorreu um acidente envolvendo um veículo e um poste na minha rua, que ocasionou a ruptura dos cabos que levava a int"
Revolta.,Quando achamos que está faltando relação sexual na nossa vida.. temos a vivo para f.. o nosso dia. Código do cliente: 
Vivo fibra vende mais do que tem capacidade de atender,"Já faz uma semana que estou sem internet, já liguei algumas vezes para a vivo e eles dizem tem um problema na rede que vão resolve"
Vivo  sem conexão há 41h,"Instalei vivo fibra em minha residência faz uma semana (Florianópolis/Itacorubi), já tive problema duas vezes de ficar totalmente "
Sem internet  - Vivo fibra,"A equipe de suporte técnico da Vivo não presta , minha Internet ultimamente tem caído várias vezes o problema sempre é externo e a"
Sem internet o dia todo,Contratei plano internet fibra  da vivo a internet não funciona e não consigo atendimento ligo eles encaminha link app não entra p
INTERNET INTEGRE DE MA QUALIDADE,Desde dia 19/10/23 notei que fiquei sem internet fixa em minha residência. Entrei imediatamente em contato com a Vivo e fiz uma so
Indisponibilidade de rede,"Em 25/08/2023 Fui a loja da Vivo no shopping Boulevard Campos dos Goytacazes comprar um aparelho telefônico, pois o meu tinha sido"
Pior operadora que já tive,"Estou sem internet desde quinta feira 19/10, hoje é 22/10 não mandam técnico falando que é problema massivo. Trata se de empresa, "
Falha na internet,"Simplesmente estou sem internet desde o dia 18/10 no período da tarde , hoje sábado 21/10 estou sem internet também, são 19h30, ma"
Internet péssima valor alto,"Tenho plano de internet de 300mb. Que antes era de 200mb.. sempre que faço a medição aqui, nunca chega os 300mg (e sim, meu aparel"
Dificuldade com mudança de endereço,"Internet residêncial, em um apartamento de 47mt, à internet não chega nem nos quartos, foi realizado uma visita técnica, onde info"
Impossível usar internet,"Eu já tive vivo fibra e não tive uma boa experiência, mas resolvi dar mais uma chance, mas simplesmente não estou conseguindo assi"
Internet Fibra - Péssima qualidade,Pago o plano de 200mb regulamente e mesmo assim o serviço não está sendo prestado regularmente. Fiquei sem sinal de wifi em pleno 
Roteador da Vivo limita a quantidade de mb que passa na banda 2.4ghz,Gostaria de relatar o descontentamento da minha parte e da minha namorada com os serviços da VIVO.Ela tinha um vivo fi
Falta de internet tv,"Me mudei em agosto para um apartamento, trabalho em casa e dependo totalmente do wi-fi.Há 20 dias tenho probelmas com o wi d"
Problema de internet ao jogar MK1,"Estou desde domingo com problema no modem, a Internet não funciona, entro no aplicativo e fico literalmente horas pra agendar uma "
Falta de internet.,"Sou cliente dessa empresa a mais de 10 ano, sempre tive problemas com o péssimo serviço oferecido, mas nos últimos tempos piorou m"
Internet nunca funciona,Internet fibra caindo constantemente. Pelo aplicativo você nunca consegue um suporte tecnico. O que mais aparece no aplicativo é &
Lentidão na internet,"A Vivo está sem funcionar desde o dia 6/10/23, às 15h, sem fornecer os serviçosde Internet e TV. Já  liguei diversas vezes para a "
Taxa de upload baixa e sem suporte.,"Estou a 2 meses com problema de internet no final de semana na minha região, já está completando o quarto final de semana sem inte"
INTERNET DE PÉSSIMA QUALIDADE,"Estou o dia todoooo sem internet, liguei na vivo e nada foi resolvido fiquei 10 minutos no telefone pra no final a mensagem de voz"
Não autorizei,POR DIVERSAS VEZES PEDI SUPORTE TECNICO PARA A VIVO A RESPITO DA MINHA INTERNET NÃO CHEGAR A CONTRATADA ENTREI EM CONTATO  M
EMPRESA NAO FORNECE INTERNET DE QUALIDADE,"Pela segunda vez, em um segundo endereço, tentei fazer portabilidade de internet e tv para a vivo. Novamente consta que nao há red"
Sem internet mais de um mês,Já estou sem Internet vários diasJá liguei para solicitar comsertoAté agora nada
Velocidade baixa,"Contratei um plano de 500mg e não chega 20 na minha casa, pago um absurdo e não tenho o serviço que contratei, liguei diversas vez"
Internet e tv a cabo não funciona,"Passei o final de semana sem Internet e hoje caiu de novo. Quando ligo para a Vivo prometem tudo, mas não fazem nada."
Obscurantismo e falta de transparência nas manutenções não programadas,"Estou há 15 dias sem internet, solicitei visita técnica, duas foram canceladas sem informação qualquer, a terceira visita o técnic"
Mais de uma semana sem internet e ninguém vem consertar,Bom estou tendo muitos problemas com vivo fixo internet com tecnologia antiga anos isso ja agora tudo fibra onde eu moro não tem d
Reclamação,"Mudei já 2 meses e venho tentando fazer a mudança de endereço pelo telefone 10315, a central me coloca em looping infinito digitan"
"Como a vivo tratar  seus  consumidor,é a qualidade  dos serviços",Contratamos em casa a Vivo internet Fibra 300 megas porém desde a primeira semana tive problemas de conexão.  Foram realizados mai
Sem internet e não resolvem,"Fiz a assinatura do Plano Internet Fibra de 300 MB em Julho 22, contratando Telefone Fixo e Disney. No primeiro ano houve poucas f"
Péssima qualidade de internet e atendentes que não resolvem,"Sabido que as redes 2.4ghz chegam a no máximo 150mb de tráfego, tenho um repetidor 2.4ghz no meu quarto que só está puxando 70mb n"
Serviços TV e Internet Vivo,"Mais uma vez a vivo presta um péssimo serviço,falta sinal de internet direto toda semana caí o sinal e como meu plano também inclu"
Sem atendimento,"Prezados, boa tarde!!! Instalei hoje a vivo fibra de 500MB na minha casa em Guarulhos/SP e comprei recentemente o jogo"
Serviço que não presta,Contratei internet da vivo pensando que seria boa mas foi uma grande decepção. Fico mais sem internet do que usando internet. E ai
Internet fibra com problema,Contratei o serviço de Internet da VIVO e a mesma fica falhando e a caso de ficar 2 dias sem funcionar pago em dia minhas faturas 
Não buscam o modem,"Gostaria de saber por que minha internet faz muito tempo não chega mais na velocidade contratada, nem a metade. Faço os testes de "
Conexão ruim e aumento do valor de fatura,"Venho tentando contatar o suporte da vivo, a URA direciona para o APP que nao funciona, tentei falar com o atendente, porém a liga"
INTERNET E ATENDIMENTO DE PÉSSIMA QUALIDADE,O slogan da VIVO é uma PIADA PRONTA dizendo que é a internet que joga junto com você. Já tem mais de uma semana que está sendo ent
Falhas repetitivas na instalação da vivo fibra,Ontem ao chegar em casa notei um forte barulho como se tivessem [Editado pelo Reclame Aqui] fios da minha residência os conduites 
VIVO FIBRA CAI TODA MADRUGADA,"Tenho o serviço prestado a mais de 5 anos, e em janeiro desse ano me ligaram pra me oferecer uma oferta, mal sabia eu que era uma "
Ma qualidade dos Modem e ausência de plantão,Estou sem internet desde do dia 09/08/23 e quando ligo sempre fala que está em manutenção e fala que está para voltar em determina
Queda de sinal geral,"Sempre reclamo com a vivo, eu pago 200 mega de velocidade e apenas 12 mgb na minha casa tá sendo oferecida,  isso já é  sacanagem"
Qualidade ruim e suporte péssimo,"Na data 14/09/2023 a minha internet e tv pararam de funcionar no horário das 9h ás 15h.No dia seguinte, na data de 15/09/202"
ADEUS VIVO,Uma vez ao mês a internet sai do ar num domingo de manhã. Ao verificar o status da internet automaticamente é exibido o prazo de f
"Estou pagando em 300 mb, R$130,00 reais apos reclamar do valor de R$148,00, e tenho hoje 46 mb de download e vive travando.","Desde o dia 6 de setembro de 2023, nós estamos sem internet na minha casa. Foram inúmeras ligações e agendamentos , e  já sã"
internet fibra com baixa qualidade,"Já faz 3 meses (julho,agosto e setembro de 2023) que fico durante a madrugada sem Internet. Em julho fiquei 6hs e meia sem Interne"
Qualidade do serviço péssima.,Boa noite  a todos  estou passando  com um problema  técnico  com a Vivo que já dura  1 mês .O técnico  vem arrumar  a
Quedas recorrentes,Tenho wifi banda larga da Vivo e estou sem internet desde o dia 02/09. Liguei para a central dia 03/09 e marcaram visita técnica p
Internet contratada péssima qualidade,"Internet INCRIVELMENTE lenta e quando ligo nenhum atendente resolve o problema, querem atualizar o sistema, mandar técnicos, mas j"
Vivo Fibra,"Estou sem Tv e Internet da vivo, abri um protocolo : *******653 , mas ainda estou sem servido e sem previsão do retorno dos mesmos"
Problemas com a internet,"Estou tentando entrar em contato com a empresa para negociar meus atrasos fazem 2 dias, mas não consigo. App não funciona, ligação"
Aparelho de péssima qualidade,"hoje faz 20 dias sem internet na minha loja, todos os dia ligo e sempre dizem que vão concertar, mas não recebi nenhuma visita téc"
"Internet Fixa, massiva de novo 1 de Janeiro de 2023",Infelizmente tenho uma internet fibra da Vivo e toda a semana a internet para de funcionar por alguns dias. Mandam o técnico e ele
Vivo sai do ar em noite de ano novo ,"Após 1 ano que cancelei a minha internet com a Vivo, eles deveriam buscar o modem e isso não aconteceu."
Vivo fibra problema de rota com o fifa 23,"Fiz o contrato da minha internet FIXA no valor de R$ 89,90 para 200mbsnão estou recebendo os 200mb contratados, e o valor da"
INTERNET FIBRA ÓTICA NÃO FUNCIONA A 10 DIAS,"Escolhi a vivo como operadora para a internet wi-fi da minha casa em dezembro, e estou completamente arrependida! Contratei um pla"
Serviço de péssima qualidade ,"A vivo fibra ofereceu para minha empresa um serviço de internet por fibra, no momento da contratação, fizeram as perguntas de conf"
A pior internet,"Perdi três períodos de trabalho e não tive a internet instalada em casa. Eu tinha vivo fibra em outro apartamento, solicitei trans"
Persistência no problema ,"Todos os dias após as 1AM a minha internet cai, por favor, solicito que resolvam isso de forma definitiva."
VIVO FIBRA COM VELOCIDADE BEM INFERIOR À CONTRATADA,"Bem, troquei há 1 mês à internet da Net/claro pela a vivo, por ser fibra até dentro de sua residência, por ter uma velocidade melh"
Vivo Fixo sem conexão por 1 dia,Boa noite Hj dia 26/05 as 20 hs da noite fiquei sem internet vivo fibra no bairro samambaia Praia Grande Sp e por coin
Internet sem funcionar e sem pessoas para consertar,"Essa é a nona vez que fico sem internet por dias em 8 meses de contrato, não consigo cancelar sem pagar multa ou taxas por cancela"
Estou sem internet a dias,"QUANDO VOCÊ TROCA DE OPERADORA DE CELULAR OU INTERNET, ELES LIGAM PRA VOCÊ PROMETENDO MUNDOS E FUNDOS E DEPOIS NÃO CUMPRE. EU PAGO"
Vivo sem sinal,"Já tenho 200 protocolos com atendentes e ouvidoria da VIVO Banda larga residencial, em mais de dois anos, e de uns meses pra cá es"
Serviço muito ruim.,"contratei o o plano de 350 megas da vivo fibra por 99 reais , estou com o plano a quase um ano, porém nas ultimas 4 semenas a velo"
Sem internet semanalmente,"Há 6 meses, depois de muita insistência dos vendedores da Vivo que ficam passando na nossa casa e incomodando a gente. Eu aceitei "
Problemas de Conexão,Boa tarde.Desde o fim do ano passado estamos passando por diversas quedas recorrentes no serviço de internet da Vivo F
"Internet não funciona, ninguém atende","Fiz a infeliz troca, há 1 mês,  da OI FIBRA pela VIVO FIBRA. Arrependimento. O técnico já veio aqui pois, só roda,  trava..não con"
Empresa sem compromisso nenhum. Amadores,"Com a Vivo Fibra aqui em casa ou ficamos off-line ou a internet fica lenta, isso desde o dia 20 de janeiro de 2023, já veio quase "
Velocidade,Todo mês tenho problemas com a minha internet onde fico sem conexão ligo na operadora e não sabem me dar um parecer ou toda vez fa
Serviço de internet péssima no Brasil,A operadora vivo fornece aparelho de péssima qualidade para os clientes ter que comprar aparelhos melhores para ter um serviço dec
Aplicativo Vivo smart não funciona,"No primeiro dia do ano, em 1 de janeiro de 2023, às 11 horas da manhã detectamos que o serviço de internet esta indisponível, a me"
Vivo internet fixo de 50mb e mentira,É um verdadeiro absurdo a vivo sair do ar desde antes das 22h da noite do dia 31/12/22 e até agora nenhuma solução.Estava re
Todos os dias fico sem internet por um período,"A vivo fibra está com problema de rota no FIFA 23 especificamente em Porto Alegre e ninguém consegue jogar o jogo, só que todo mun"
Sem conexão de Internet e velocidade que não chega,Está completando 10 dias que minha internet não funciona. Já vieram dois tecnicos e não resolveram. Descaso total.
Internet lento - técnicos não aparecem,"Todos os meses estamos ficando de 3 a1 semana sem internet, sempre arrumando uma desculpa e nunca resolve "
Um lixo de empresa,"Mais uma vez relato um problema que acontece à tempo e nada de solução, constantemente tenho entrado em contato com a operadora pa"
"Vivo limita velocidade, ja estou cansado, nao comprem vivo fibra.","Sigo a meses brigando com a vivo referente meu sinal, já abri reclamação na Anatel, logo várias vezes por mês, por sinal os técnic"
ESTOU SEM INTERNET HÁ 4 DIAS E SEM PREVISÃO DE RETORNO,"Adquiri plano vivo total 200 mbps, porém no momento da compra não é informado que a velocidade contratada é somente para aparelhos"
Falha constantes no serviço,"Desde ontem de tarde estou sem internet fixa em meu apartamento, comprometendo meu trabalho. Fui informado pelo síndic"
VIVO PROPAGANDA ENGANOSA - NÃO ENTREGA O QUE VENDE,"No dia 21 de abril a noite, a rede simplesmente parou de funcionar, pifou, parou totalmente e só poderão começar o conserto no dia"
Sem internet e sem atendimento.,Hoje dia 21/04/2022 venho aqui fazer minha reclamação devido ao fato de desde sábado (16) estar sem internet. Fiz os testes no app
Vivo não oferece um plano de internet decente ,Estou há 3 dias sem sinal de internet. Toda vez que ligo para o suporte é a mesma estória. De que estão fazendo manutenção em minh
Solicitação de cancelamento ,Fechei um pacote de internet vivo fixo e simplesmente não consigo ter o serviço. Todo mês fico vários dias sem internet em casa po
INTERNET FORA DO AR,"Resolvi mudar para vivo fibra devido ao fato de haver lentidão e quedas de conexão, tudo ir normal até uns três meses de serviço, "
Portas insuficientes ,"Prezados, venho enfrentando constantes problemas de conexão com essa empresa. Todos os dias ela sai do ar no mínimo umas 4 vezes. "
Empresa muito displicente ,"Domingo, 7:40am. Internet não funciona. Tento desde as 6am. Ninguém atende. Serviço não funciona, atendimento não funciona. "
problema com vivo fibra para jogar na PSN,"Fiz a contratação de um plano de internet fibra. Marquei a instalação para dois dias depois. Ninguém apareceu no dia marcado, nem "
Falta de respeito!,"Minha velocidade estava mais de 100MB para upload, e mais de 200MB para download. Comprei telefone novo com a Vivo, vendedora junt"
Pagando 15 megas vindo 1 mega,"Novamente venho reclamar, ficamos 2 duas inteiros está semana sem internet, e meu marido e eu trabalhamos de casa. Como? Se a inte"
Vivo fibra morre constantemente,"Instalei o aplicativo vivo smart p/administrar o consumo da internet, porém, após a instalação do aplicativo e a efetivação de alg"
Problemas com a internet há 2 meses.,"A vivo vende um serviço que não consegue cumprir com a verdade, já cansei de fazer teste de velocidade e ligar para suporte técnic"
Descaso,"Todos os dias fico sem internet por um período, estou sem linha telefonica a mais de uma semana, mas na hora da cobrança vem o mes"
Péssima qualidade dos serviços prestados,"Meu problema com a Vivo já tem algum tempo, constantemente temos que solicitar visita técnica. Em todas as visitas é constatado qu"
Sem internet há 1 semana e operadora não resolve,"Estou com velocidade de upload reduzida (abaixo de 1 MB, hj apenas 500K) há mais que um mês. Já solicitei dois atendimentos pelo a"
