Titulos,Conteudo
Manutenção,Minha Oi Fibra não funciona há 2 dias. Ontem fiquei mais de 1h no telefone com técnico para tentativa de resolução que não funcion
"NÃO ENTREGA METADE DO SERVIÇO CONTRATADO - internet vivo Fibra 400MB, não chega nem 100MB","Já não estou aguentando essa situação, estou sem internet desde o dia 13/09, a internet voltou no dia 19 e ficou muito lenta, no d"
Não consigo falar com atendente para agendar reparo na rede.,"Há mais ou menos duas semana teve um reparo na rede, sem aviso, de um dia inteiro. Após esse reparo, minha Internet de 500mb entre"
Não entregam velocidade que prometem,"Tenho o plano da OI FIBRA há uns 3 anos, nunca tive problemas, porém com a última fidelização ocorrida em março/2023 percebi que a"
Internet sem funcionamento,"Frequentemente fico sem acesso à internet, sem nem sequer um aviso prévio para me preparar! Trabalho de casa alguns dias e necessi"
Fibra com reparos constantes,NÃO ENTREGA METADE DO SERVIÇO CONTRATADOInternet contratada de 400MB onde se paga caro pelo plano e não tem qual
Serviço de péssima qualidade - propaganda enganosa,"Há cerca de um mês venho tendo problemas com minha internet de 400mb da oi.A internet começa a ficar lenta e caindo, faço o "
Pessimo Suporte e Internet da Fibra Pessima,Contratei 200 M de velocidade Oi Fibra mas só chega 100 M. Já liguei diversas vezes e ninguém resolvw
Só promessa,"Fiquei sem internet ontem às 15hrs e informaram que estavam em reparos, até agora eu não tenho acesso.Sendo que trabalho hom"
Arrependimento pelo novo Contrato e mudança de plano,"Domingo notei minha internet lenta, abri o app do técnico virtual e deu manutenção na rede com prazo pras 20:00 após as 20:00 cont"
Mal funcionamento da Internet,"Olá, contratei o serviço de 200 megas da OI FIBRA, não consta pagamento pendente, e estou tendo muitas dificuldades de navegar na "
Minha internet não carrega nada,"Tentei por 1 mês o contato com a OI para solucionar o problema da forte lentidão do wifi, porem sempre foi a solução de reiniciar "
MINHA INTERNET NÃO FUNCIONA E NÃO CONSERTAM,Já se faz 5 anos pedindo velocidade e dizem que minha rede não suporta e como tbm a fibra que falta de respeito pelo consumidor já
Internet travando o tempo inteiro!!!!!,"Já possuía a oi fibra em casa e me ofereceram aumentar a velocidade de 200 mega para 500 mega pelo mesmo valor, porém não recebo o"
Toda semana fico sem internet,"Já faz um mês que a Internet não funciona como deveria funcionar. Tenho efetuado farias ligações, e não surtiu efeito ."
Não recebi o contratado!,Tenho 2mega de internet não consigo abrir nem o Instagram não roda nada nela não chega o que eles prometem de 200 mega
Porcaria de internet,"Tenho a quase um ano o contrato da oi fibra, de 3 meses pra cá não está funcionando mais, a velocidade está em 20 megas, testo via"
Estou já a 3 dias sem internet e nada de arrumarem,Estava sem internet por conta da falta do pagamento. No dia 11 de setembro acertei as contas e mesmo assim não voltou a funcionar.
Mal funcionamento e aumento do valor!,"eu tenho dois contatos na minha casa tem meu celular e apenas meu projetor, na casa do meu pais tem as TV, o Xbox e o celulares. l"
BEMVINDO15,"Olá toda semana fico sem internet ainda mais nos finais de semana, sempre tenho que ficar ligando pra resolverem assim tá difícil "
Mal funcionamento,"A empresa me ofereceu há dois dias a mudança para o plano de 500 Mega. Aceitei, foi feita a alteração, segundo eles, porém a Inter"
Recem contratado já sem conexao,"Instalamos a internet no dia 26/09 por volta das 11 da manhã. No mesmo dia na parte da tarde a internet já parou de funcionar, ent"
SEM SINAL DE INTERNET A MAIS DE 5 DIAS SEM PREVISÃO DE RETORNO,"Cheguei de viagem fiquei 20 dias fora aí quando vou ligar novamente minha internet não funciona, bom já é a 4 vez que eu tenho que"
Velocidade de internet abaixo da contratada,"Há uns 3 dias nossa Internet está uma P0RC@RI@!!! Temos vários aplicativos parar acessar de plano de saúde, banco e até mesmo rede"
Sem internet e o técnico mentiu que foi na minha residência.,Estou pagando o fixo sem estar usando já a um ano quero cancelar
Minha internet só trava e não  funciona,"Contratei um plano de 500 megas, e estou muito insatisfeita com os serviços da Oi  ,imagem da Oi play  sem qualidade, instabilidad"
Minha internet não funciona,"No dia 14/09/23, liguei pra Oi para contratar o serviço, agendei instalação para  16/09/23 (sábado), o técnico não veio, só conseg"
Internet 5G não funciona e inúmeras quedas de sinal d internet,"Estou a mais de 5 dias sem sinal de internet, com previsões de normalizações sendo prorrogadas a cada 12 horas. Já liguei no setor"
"INTERNET RUIM, QUEDAS CONSTANTES E NÃO RECEBO OQUE ESTAR NO CONTRATO","Efetuei a contratação de internet oi fibra de 500 mega, porém estou recebendo apenas 200 mega. Efetuei. Abertura dos protocolos:**"
Contratei 700 MB e recebo 90 MB,"Estou sem internet desde domingo (24/09/2023), liguei no mesmo dia e não conseguiram fazer meu agendamento pois estavam sem sistem"
Recebendo menos dados do que contratado; agendamento dificuldade na comunicação com a empresa.,"A mais de 3 meses venho pedindo reparos e informando que minha internet esta travando demais nao abre nada nem aplicativos, a oper"
Internet horrível,"Estou sem internet a mais de 1 semana, desde o dia 16/09.Já liguei diversas vezes e não resolvem.Marcaram a visita de "
Não recebo a velocidade de internet contratada,"Estou a dias tentando resolver um problema técnico que crédito ser no modem, porém, sem êxito. Tentei por inúmeras vezes alterar a"
Continuo sem internet,"Há dias que ligo e faço a solicitação de melhorias na qualidade da internet, pois até agora não teve nenhuma melhora, a internet c"
Nao tenho a velocidade de contrada,"Fui induzido a contratar o plano de 700 MB da Oi Fibra e nunca recebi nem 50% da velocidade, entrei em contato com a operadora par"
Falta de internet e atendimento horrível,"Bom dia.Possuo a internet da Oi fibra há uns 4 anos aproximadamente, onde a mesma nunca havia me dado problemas muito "
PÉSSIMA INTERNET E ATENDIMENTO SEM REPAROS,A empresa da Oi não presta um bom serviço a internet eles vivem fazendo manutenção e sem contar que que contestei um velocidade de
Sem Internet,"Possuo o plano OI Fibra de 500 Mbps e minha internet é horrível. Quando faço medições via Speed Test, a velocidade fica em torno d"
Madrugadas sem internet,"Estou sem internet desde 27 de setembro! Mando mensagem pelo whatsapp para a oi ,e ate agora nada! Desde o dia 27 de setembro ,a a"
Atendimento,"ja liguei diversas vezes , já acionei o suporte. ja falei com os N2 e miguem resolve questão do wifi caindo e a velocidade da inte"
Sem Wi-Fi em casa,"Faz dois dias que estou sem internet e não consigo ligar pra falar com um atendente, somente com computador, preciso de reparo em "
O Suco do Lixo,"Temos a internet da oi para auxiliar, pois somos uma empresa que trabalha com a internet integralmente e estamos enfrentando const"
Estou sem internet e não consigo atendimento,A 10 dias mudei a minha internet de TIM para Oi Fibra porque a TIM não fazia reparo na minha área. E continuo com o mesmo problema
Falha no serviço Oi Fibra,"Já faz um bom tempo que, apenas na madrugada, por volta das 03h, simplesmente o sinal da minha internet para de funcionar, e quand"
Internet ruim,"Não basta a Internet de vocês ser ruim, o atendimento também é péssimo pois não tem uma pessoa que trate dos assuntos referentes a"
Velocidade dos MBs abaixo do contratado,"Estamos sem wi-fi em casa já faz mais de 03 dias. Tudo começou na quarta-feira (27/09/2023), às 9:20, quando funcionários da Oi Fi"
"Péssima internet, quase 30 horas sem internet e técnicos mal educados.","Eu simplesmente desisto de usar essa merda.É a mesa história sempre. Sempre com defeito, sempre com problemas na e sempre só"
Oi Fibra com latência extremamente alta mesmo usando direto pelo cabo,Estou a mais de 30 minutos em uma chamada aguardando atendimento do suporte da oi fibra e nada de atendimento. Isso é uma vergonha
Sem internet há uma semana,Sem conexão com a Internet desde a noite de 21/09 e com protocolo aberto sem solução desde a manhã de 22/09. Já foi identificado q
Não funciona 5GHz no Oi Fibra,"Minha mãe e eu possuímos Oi Fibra em nossa casa, frequentemente precisamos fazer o uso do 4G pois o Wi-Fi simplesmente não funcion"
Sinal Internet ruim,Decepção essa é a palavra correta.Entrei em contato com uma atendente virtual Porquê nem gente tem pra resolver..Para 
"INTERNET NAO FUNCIONA A MAIS DE 20 DIAS, FALAM QUE O PROBLEMA É NA RUA E NÃO RESOLVE",A internet da minha residência a vários dias está com problema para usar pois a quantia de MBs está extremamente baixa e assim est
Baixa velocidade - menos de 100MB/Contratado 400MB,"Contratei um plano de 400mb e essa porcaria não chega há 100mb. É uma lentidão para fazer download, vídeos do YouTube não carrega,"
Insatisfação com atendimento,"Fiz a solicitação de instalação da oi fibra, ainda nem recebi a primeira fatura, e a internet NUNCA funcionou de forma adequada, o"
a internt não funciona,"No dia 24/09/23, por volta das 14:00 horas, minha conexão de internet da Oi Fibra ficou inoperante. Imediatamente entrei em contat"
"Não mandam fatura,e bloqueiam mesmo após pagamento por pix",Assinei a Oi Fibra essa semana e a latência para download está extremamente alto. Nos testes está chegando a 200ms usando a intern
Sem funcionamento,"Liguei para o atendimento da Oi, para abrir um reparo, para sábado, a atendente disse que não tinha agenda, pois era longe a data,"
Ultimamente a Oi Fibra tem entrado em constantes reparo e cobrando valor cheio no final do mês,Foi instalado a pouco dias no nosso condomínio um link de 1Ghz de Internet OI Fibra.Porem desde o inicio não conseguimos con
Sem sinal Fibra INTERNET,"Desde quando adquiri o produto fibra da Oi  e hoje reclamando da Internet, nunca tem um sinal lenta e nunca chega nem cem mega sen"
Sem Internet há 6 dias,"Contratei um plano que promete 200 mega de internet, no entanto, o máximo que chega é 10 mega, já liguei para a operadora e fiz to"
Oi Fibra sem conexão há 3 dias,"Fizemos diversos contatos onde em todos eles pediam o prazo de 24 horas para reparo, informaram que existia chamado em aberto que "
Modem Não Funciona Portas LAN,"Seguidamente estou com baixa velocidade no acesso, sempre tenho que ligar e reclamar. Nunca dão explicação sobre a origem do probl"
Cobrança indevida de valores,Há vários dias estou sem internet e a equipe técnica da oi fibra não resolve o problema nem me dá satisfação. Falar com inteligênc
Falta de sinal,"A INTERNET NAO FUNCIONA, VC PEDE ASSISTENCIA TECNICA ELES NAO ENVIAM, ATENDIMENTO PESSIMO. JA PEDI ATE PÉLO AMOR DE DEUS, ESTOU IM"
Sem conexão,Desde o dia 09/09/2023 estou sem Internet aqui em casa veio um assistente da Oi e viu que o problema era no poste e não aqui em ca
A OI fibra não dá assistência técnica pra o cliente,"Minha internet só vive lenta e oscilando ultimamente, já entrei no site várias vezes pra tentar reparar e continua lenta!!! "
A MINHA INTERNET CONTINUA LENTA.,"Minha Internet foi bloqueada e, ao ligar para o atendimento da OI, me disseram que havia sido bloqueada por falta de pagamento. Av"
Insatisfeita com Tudo,Contratei pacote de internet oi fibra p minha empresa há mais de 1 ano e sempre tive problemas com sinais por 1 a há 2 dias seguid
A Oi é uma empresa sem caráter.,"A Oi Fibra vive em reparo nao meu bairro, fica até 12 horas sem internet seguidamente, e nesse ano pelo menos duas vezes por mês f"
"Pela segunda vez solicito o cancelamento total da fatura no valor de R$61,88 com vencimento 11/09/2023 pois estou com problemas na internet desde o dia 03/01/2023 já foram efetuados vários reparos porém sem solução",Ontem dia (06/09/2023) cheguei em casa e estava sem internet da OI. Tentei contato via WhatsApp da OI e recebi a informação que nã
03 semanas sem internet e a Oi Fibra não resolve,"Estou sem Internet desde sábado 2/9/2023, e peço todos os dias e falam que o técnico virá e nada,hoje dia 7/9 nada até agora.Já li"
Travaram minha Net de volta,Bom dia !Sou sócio proprietário da empresa Logisticar Transportes e hoje faz exatamente 3 dias que estamos sem conexão de in
Não dão assistência. Ao cliente,Solicitei a Oi Fibra e a instalação ocorreu no dia 23/08/2023. Constatei que a porta LAN não estava entregando a internet para o m
FICO SEM INTERNET TODA SEMANA E SE RE[Editado pelo Reclame Aqui]AM A ATENDER,Solicitei um plano de fibra de 400 mb básico que nem chega a velocidade contratada conforme anexo e ao acessar minha conta vi que 
Peço o cancelamento Da Minha Fatura porem operadora Se Re[Editado pelo Reclame Aqui]a a Cancelar,"Estou a várias meses com dificuldade na navegação, já fiz várias reclamações, porém sem nenhum resultado definitivo, por último me"
Oi internet,Estou desde quinta feira sem conexão de internet. Atendimento somente informa que estão efetuando reparo e a todo momento adiam o 
Cancelamento oi fibra,Desde o dia 30/08/2023 minha internet vem caindo e afetando meu trabalho em casa. Ligo para o número fornecido no site e no aplica
Nome Negativo,"A MINHA INTERNET CONTINUA LENTA À MESES, EU NÃO AGUENTO MAIS,  RECLAMO MAIS NÃO TENHO EXETO,  PRECISO DE UMA SOLUÇÃO URGENTE."
Tenho uma  AUTISTA em casa Desrespeito com o consumidor,"Aderir o plano da fibra da Oi em dezembro de 2022 com uma funcionária da qual veio me oferecer o serviço na porta da minha casa, c"
Mudança de plano sem autorização,"Tive inúmeros problemas com a Oi desde o primeiro dia que contratei esse (des)serviço, ano passado fiquei quase um mês sem interne"
"Solicitei e cancelei solicitação de OI Fibra, mas recebo ligações a cada 10 minutos","Pela segunda vez solicito o cancelamento total da fatura no valor de R$61,88 com vencimento 11/09/2023 pois estou com problemas na"
Não deixam cancelar,"Há três semanas estou sem Internet. Nesse período, ligo todos os dias para empresa Oi Fibra e a mesma não resolve. Faz agendamento"
Não cumprem data de agendamento,Já fiz o pagamento e não desbloquearam meu sinal
Cancelamento dificultado pela operadora,"Paguei uma conta duas vezes, e uma atrasada por erro , estou tentando falar com atendente pedindo um jeito de enviar o comprovante"
Pago e não desbloqueia o serviço,"ESSA EMPRESA ESPECIALISTA EM SUGAR DINHEIRO toda semana fica sem internet e é LITERALMENTE IMPOSSÍVEL falar com essa empresa, pare"
Visita técnica reagendada,"A Internet Oi da minha casa não funciona várias vezes durante o dia, fica travando, já reclamamos por telefone, o técnico esteve n"
Indisponibilidade de Internet,"Pela segunda vez solicito o cancelamento total da fatura no valor de R$126,50 com vencimento 11/08/2023 pois estou com problemas n"
"Mudança de endereço , atendimento péssimo","A vários dias estamos tendo problema com a lentidão da internet da OI que temos em casa, a mesma não abre nem arquivo anexado nos "
Cobranças [Editado pelo Reclame Aqui],Vou me mudar de Cidade por tanto no local não tem oi fibra pedi o cancelamento e querer que eu pague a taxa de quebra de contrato 
Não aguento mais a OI FIBRA COM TELEMARKETING,Fiz o pagamento do acordo porém até agora não foi retirado o meu nome do serasa
Serviço Horrível - Instabilidade Constante,Me chamo Raquel. No dia 15/10/2019 minha Internet parou de funcionar. Tentei o reparo pela oi-e mas não consegui e tive que entrar
Empresa nao cancela meu plano,"Boa tarde. Meu pai é titular da Oi Fibra, porem, quem resolve pra ele sou eu que sou filha, porém, chegou a conta para pagar com o"
Mais de 60 ligações até agora15h da tarde,"Solicitei e cancelei solicitação de OI Fibra 1 dia depois, pois no momento não desejo mais contratar, já expliquei isso por whatsa"
TELEMARKETING E LIGAÇÕES CONSTANTES,estao me cobrando uma assinatura da hbo max que eu nao fiz.
Não consegui falar para cancelar,Estou a quase 2 semanas tentando cancelar o contrato e fazem de tudo para não permitir.. Liguei por diversas vezes na ouvidoria e 
Um desserviço que cansa,"Pela segunda vez AGENDO DATA E HORÁRIO para virem buscar o aparelho da Oi Fibra e NUNCA VIERAM! Acabei de agendar novamente, vamos"
cobrança por serviços não contratados,Gostaria de expressar minha insatisfação e frustração em relação à dificuldade que estou enfrentando para efetuar o cancelamento d
Pedi mudança de endereço e a Oi continuou cobrando no endereço antigo e no novo.,Paguei no pix dia 13/10/2023 com a promessa de desbloqueio em até 3 horas hoje já são dia 16/10/2023 e já fiz várias ligações para
Cobraça Indevida,Estou a quase uma semana sem Internet e agendo a visita técnica e eles não vem ligo pra Oi e a única solução que me dão é reagenda
Cobrança,"Estamos sem OI FIBRA e telefone fixo já faz +30 horas.Tentamos contato telefonico várias vezes, no dia 14/10 foi infor"
Usou meus dados indevido,"A empresa citada , não responde durante 3 dias , alegando não ter uma resposta se existe como fazer a instalação no novo endereço "
Suporte Técnico não Funciona,"eu solicitei o cancelamento da oi fibra em maio porque pra onde eu moro nao tem oi fibra, ai eles falaram que seria melhor trocar "
Venda Casada,A OI FIBRA ESTÁ ME PERTUBANDO COM LIGAÇÕES E ME ENVIANDO MENSAGENS NO WHATSAPP PARA ME OFERECER PLANOS DE INTERNET. EU NUNCA
Mudança de endereço,A internet fica mais tempo sem funcionar do que funcionando. Estou tendo uma dificuldade imensa de ficar uma semana sem ter proble
Data de vencimento,Solicitei cancelamento automático via telefone do meu plano e não foi realizado. estou tentando cancelar via WhatsApp e o sistema 
NÃO QUERO MAIS RECEBER OFERTAS DA OI FIBRA,Me ligaram ontem sobre ter chegado oi fibra na minha casa cai na bobeira de pedir informações e agora não param de ligar. E foi da
Ofertaram um valor e cobram outro.,O consumidor possui um contrato de telefonia fixa com a OI e vem recebendo constantes ligações da empresa fornecendo serviço de OI
Alteracao de titular sem sucesso,"Não consigo entrar em contato para cancelar, não consegui resetar a senha do aplicativo.. Suporte péssimo. Quero cancelamento imed"
Me cobrando oi sem eu ter serviços oi durante 1 ano me cobrando,"Quando acabou o prazo de fidelização do meu contrato com a oi fibra, recebi várias ligações pra atualizar meu contrato, em várias "
"OI FIBRA ME LIGA TODOS OS DIAS, TODA HORA, ME OFERECENDO SERVIÇOS DOS QUAIS EU JÁ RE[Editado pelo Reclame Aqui]EI","notei que tem alguns meses que minha conta está vindo com valores um pouco mais alto, sempre aumentando e fui ler, estão sendo cob"
Cancelamento não efetuado,"Em abril de 2023 pedi uma mudança de endereço pra oi, foi marcada a instalação pro dia 15  e no mesmo dia a internet foi desligada"
Cobrança indevida por cancelamento de serviço oi fibra,Em 03/setembro/2023 solicitei a portabilidade da Linha******* + Internet Oi Fibra para empresa Algar Telecom S/A.Em 05
Falta de internet,Estão me cobrando após o cancelamento da internet
Péssimo serviço de reparo,"Mais uma vez venho aqui pra reclamar da oi , eles não resolveram minha situação q alguém usou meus dados pra contratar eles , e me"
Devolução do Modem Oi Fibra,Estou a 6 dias sem Internet. Liguei para central de atendimento da OI e agendaram visita técnica. Porém o técnico não apareceu e n
Falta de sinal de internet,"Ao tentar contratar um pacote de internet Oi Fibra, me deparei com um contrato que estava me vendendo não somente a internet, mas "
Taxa de habilitação cobrada indevidamente,Solicitei uma mudança de endereço para minha internet Oi fibra há mais de uma semana. Marcam a instalação e não comparecem ao ende
Transferência do endereço da instalação,"Contratei os serviços da Oi fibra, no dia 1/09, onde o atendente pediu para eu escolher uma data de vencimento, lembro que escolhi"
Multa de cancelamento,Sou cliente da oi a mais de um ano entrei em contato com a oi para cancelar  e eles querem me cobrar uma multa de mais de quatroce
Suspensão temporária de serviços,"Olá, tenho a muitos anos bloqueio do Não Me Perturbe e nos últimos meses estou recebendo ligações da Oi Fibra, oferecendo serviços"
Sem conexao,"No dia que foi aderido ao plano oi fibra, o atendente me ofertou o valor de 79,90, mesmo eu falando que não tinha cartão de débito"
Estão me cobrando um valor maior do que o combinado.,Estão me cobrando 4 contas sendo que eu moro em penha e as contas que estão no nome de outra pessoa que mora em rio do sul são mai
COBRANÇA INDEVIDA,Tentei por 3 vezes solicitar a alteracao do titular de um plano de internet de fibra da OI sem sucesso. Por diversar vezes ouvi e 
Produto cancelado no dia 27 de setembro de 2023,Minha fidelidade com a Oi acabou ano passado entre junho a agosto eu pedi pra cancelar depois da fidelidade..Mais a oi
Ligação excessiva,"A OI FIBRA está abusando em quantidades de ligações automáticas par oferecimento de serviços. TODOS OS DIAS ELES LIGAM, em vários "
Sem serviço há 2 dias e sem previsão,"Já abri reclamação na Anatel, tô desde sábado dia 30/09 tentando fazer a mudança de endereço, pois me mudei e preciso da internet."
Paguei dívida no serasa e ela voltou a aparecer,"Mudei de residência ,de São Leopoldo para Ivoti. No dia 28/09/23 (protocolo*******80) pedi a mudança do serviço da Oi fibra para m"
